date,open,high,low,close,adj close,volume
2016-06-07,3.7999999523162837,3.839999914169312,3.5999999046325684,3.650000095367432,3.650000095367432,175600
2016-06-08,3.660000085830689,3.6800000667572017,3.5199999809265137,3.5199999809265137,3.5199999809265137,117000
2016-06-09,3.539999961853028,3.650000095367432,3.4800000190734863,3.630000114440918,3.630000114440918,87700
2016-06-10,3.5299999713897705,3.650000095367432,3.5,3.5299999713897705,3.5299999713897705,60200
2016-06-13,3.509999990463257,3.5799999237060547,3.4800000190734863,3.5,3.5,86200
2016-06-14,3.470000028610229,3.5,3.4100000858306885,3.440000057220459,3.440000057220459,83300
2016-06-15,3.4600000381469727,3.660000085830689,3.4500000476837163,3.5199999809265137,3.5199999809265137,263000
2016-06-16,3.509999990463257,3.609999895095825,3.4200000762939453,3.4500000476837163,3.4500000476837163,91000
2016-06-17,3.4300000667572017,3.5799999237060547,3.4300000667572017,3.5699999332427983,3.5699999332427983,74900
2016-06-20,3.5999999046325684,3.619999885559082,3.5299999713897705,3.5899999141693115,3.5899999141693115,70600
2016-06-21,3.5799999237060547,3.5799999237060547,3.470000028610229,3.5499999523162837,3.5499999523162837,55200
2016-06-22,3.5699999332427983,3.619999885559082,3.4300000667572017,3.4500000476837163,3.4500000476837163,172500
2016-06-23,3.4800000190734863,3.559999942779541,3.4500000476837163,3.4800000190734863,3.4800000190734863,42200
2016-06-24,3.289999961853028,3.400000095367432,3.2100000381469727,3.220000028610229,3.220000028610229,232500
2016-06-27,3.289999961853028,3.289999961853028,2.9600000381469727,3.009999990463257,3.009999990463257,279200
2016-06-28,3.119999885559082,3.220000028610229,3.0,3.2000000476837163,3.2000000476837163,121300
2016-06-29,3.2699999809265137,3.2999999523162837,3.0999999046325684,3.2699999809265137,3.2699999809265137,123200
2016-06-30,3.240000009536743,3.2699999809265137,3.1700000762939453,3.259999990463257,3.259999990463257,51400
2016-07-01,3.5499999523162837,4.050000190734863,3.5499999523162837,3.609999895095825,3.609999895095825,3583100
2016-07-05,3.5999999046325684,3.5999999046325684,3.2999999523162837,3.390000104904175,3.390000104904175,388800
2016-07-06,3.380000114440918,3.490000009536743,3.2999999523162837,3.3499999046325684,3.3499999046325684,259200
2016-07-07,3.3499999046325684,3.4200000762939453,3.25,3.3299999237060547,3.3299999237060547,156700
2016-07-08,3.3299999237060547,3.359999895095825,3.25,3.2999999523162837,3.2999999523162837,155500
2016-07-11,3.359999895095825,3.380000114440918,3.2999999523162837,3.380000114440918,3.380000114440918,107800
2016-07-12,3.4300000667572017,3.660000085830689,3.359999895095825,3.619999885559082,3.619999885559082,313600
2016-07-13,3.5999999046325684,3.619999885559082,3.4600000381469727,3.509999990463257,3.509999990463257,189700
2016-07-14,3.559999942779541,3.609999895095825,3.5,3.5799999237060547,3.5799999237060547,116200
2016-07-15,3.5699999332427983,3.609999895095825,3.509999990463257,3.5699999332427983,3.5699999332427983,116300
2016-07-18,3.5499999523162837,3.5799999237060547,3.490000009536743,3.5199999809265137,3.5199999809265137,110000
2016-07-19,3.5,3.559999942779541,3.359999895095825,3.380000114440918,3.380000114440918,168700
2016-07-20,3.359999895095825,3.5,3.359999895095825,3.4300000667572017,3.4300000667572017,96000
2016-07-21,3.4200000762939453,3.5199999809265137,3.4200000762939453,3.509999990463257,3.509999990463257,100400
2016-07-22,3.5499999523162837,3.5499999523162837,3.390000104904175,3.440000057220459,3.440000057220459,153200
2016-07-25,3.380000114440918,3.440000057220459,3.2799999713897705,3.3299999237060547,3.3299999237060547,95100
2016-07-26,3.3499999046325684,3.4100000858306885,3.2999999523162837,3.3399999141693115,3.3399999141693115,68200
2016-07-27,3.3299999237060547,3.4200000762939453,3.2799999713897705,3.2999999523162837,3.2999999523162837,147300
2016-07-28,3.3399999141693115,3.400000095367432,3.3199999332427983,3.3499999046325684,3.3499999046325684,80200
2016-07-29,3.400000095367432,3.400000095367432,3.309999942779541,3.369999885559082,3.369999885559082,36600
2016-08-01,3.4800000190734863,3.5899999141693115,3.4200000762939453,3.440000057220459,3.440000057220459,114900
2016-08-02,3.5,3.5,3.359999895095825,3.400000095367432,3.400000095367432,41300
2016-08-03,3.359999895095825,3.5299999713897705,3.3499999046325684,3.4300000667572017,3.4300000667572017,86800
2016-08-04,3.490000009536743,3.539999961853028,3.4300000667572017,3.470000028610229,3.470000028610229,92300
2016-08-05,3.470000028610229,3.5,3.400000095367432,3.4600000381469727,3.4600000381469727,84600
2016-08-08,3.470000028610229,3.5699999332427983,3.4200000762939453,3.509999990463257,3.509999990463257,76100
2016-08-09,3.539999961853028,3.640000104904175,3.539999961853028,3.609999895095825,3.609999895095825,164900
2016-08-10,3.5,3.609999895095825,3.400000095367432,3.4500000476837163,3.4500000476837163,162800
2016-08-11,3.4800000190734863,3.5499999523162837,3.4100000858306885,3.539999961853028,3.539999961853028,99200
2016-08-12,3.5499999523162837,3.640000104904175,3.5299999713897705,3.609999895095825,3.609999895095825,114300
2016-08-15,3.619999885559082,3.650000095367432,3.5499999523162837,3.609999895095825,3.609999895095825,73400
2016-08-16,3.5899999141693115,3.660000085830689,3.559999942779541,3.650000095367432,3.650000095367432,79300
2016-08-17,3.5999999046325684,3.7100000381469727,3.5799999237060547,3.650000095367432,3.650000095367432,114600
2016-08-18,3.619999885559082,3.75,3.619999885559082,3.6800000667572017,3.6800000667572017,58500
2016-08-19,3.75,3.75,3.559999942779541,3.6800000667572017,3.6800000667572017,44300
2016-08-22,3.6800000667572017,3.809999942779541,3.650000095367432,3.670000076293945,3.670000076293945,77900
2016-08-23,3.670000076293945,3.7200000286102295,3.609999895095825,3.670000076293945,3.670000076293945,64500
2016-08-24,3.690000057220459,3.7799999713897705,3.5999999046325684,3.619999885559082,3.619999885559082,87500
2016-08-25,3.650000095367432,3.740000009536743,3.609999895095825,3.619999885559082,3.619999885559082,87500
2016-08-26,3.660000085830689,3.740000009536743,3.630000114440918,3.7200000286102295,3.7200000286102295,68100
2016-08-29,3.740000009536743,3.740000009536743,3.630000114440918,3.630000114440918,3.630000114440918,84100
2016-08-30,3.630000114440918,3.7100000381469727,3.609999895095825,3.630000114440918,3.630000114440918,30300
2016-08-31,3.630000114440918,3.670000076293945,3.5799999237060547,3.609999895095825,3.609999895095825,56400
2016-09-01,3.660000085830689,3.7300000190734863,3.5199999809265137,3.559999942779541,3.559999942779541,75600
2016-09-02,3.650000095367432,3.660000085830689,3.509999990463257,3.5299999713897705,3.5299999713897705,71300
2016-09-06,3.5499999523162837,3.7100000381469727,3.509999990463257,3.660000085830689,3.660000085830689,102700
2016-09-07,3.670000076293945,3.740000009536743,3.619999885559082,3.7300000190734863,3.7300000190734863,84500
2016-09-08,3.740000009536743,3.740000009536743,3.630000114440918,3.7300000190734863,3.7300000190734863,57900
